,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0372,IFA,2022/06/09,2022/05/09,M0001-6181,一號廢棄物暫存區滅火器平面圖,B,A,"一號廢棄物暫存區 滅火器平面圖,廣播系統昇位圖 & 平面圖,火警系統昇位圖 & 平面圖,避難逃生照明系統平面圖",TC0-1-FCM02-D6275,施韋考  Ext.:26356,R
1,TPC-TC(C0)-CD-22-0372,IFA,2022/06/09,2022/05/09,M0001-6182,一號廢棄物暫存區廣播系統昇位圖 & 平面圖,B,A,"一號廢棄物暫存區 滅火器平面圖,廣播系統昇位圖 & 平面圖,火警系統昇位圖 & 平面圖,避難逃生照明系統平面圖",TC0-1-FCM02-D6277,施韋考  Ext.:26356,R
2,TPC-TC(C0)-CD-22-0372,IFA,2022/06/09,2022/05/09,M0001-6184,一號廢棄物暫存區火警系統昇位圖 & 平面圖,B,A,"一號廢棄物暫存區 滅火器平面圖,廣播系統昇位圖 & 平面圖,火警系統昇位圖 & 平面圖,避難逃生照明系統平面圖",TC0-1-FCM02-D6280,施韋考  Ext.:26356,R
3,TPC-TC(C0)-CD-22-0372,IFA,2022/06/09,2022/05/09,M0001-6186,一號廢棄物暫存區避難逃生照明系統平面圖,B,A,"一號廢棄物暫存區 滅火器平面圖,廣播系統昇位圖 & 平面圖,火警系統昇位圖 & 平面圖,避難逃生照明系統平面圖",TC0-1-FCM02-D6283,施韋考  Ext.:26356,R
