,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0508,IFA,2022/07/13,2022/06/13,TC0-1-III02-A9402,Certificates of Explosion Proof & Enclosure for Gas Detector and Accessories,A,A,"Certifitcates of Explosion Proof & Enclosure/Catalogs/Data Sheet & data exchange/Outline & Wiring Drawing/Installation, Operation and Maintenance Manual for Gas Detector and Accessories",TC0-1-III02-R9402,王鵬豪  Ext.:25199,I
1,TPC-TC(C0)-CD-22-0508,IFA,2022/07/13,2022/06/13,TC0-1-III02-A9407,"Installation, Operation and Maintenance Manual for Gas Detector and Accessories",A,A,"Certifitcates of Explosion Proof & Enclosure/Catalogs/Data Sheet & data exchange/Outline & Wiring Drawing/Installation, Operation and Maintenance Manual for Gas Detector and Accessories",TC0-1-III02-M9407,王鵬豪  Ext.:25199,R
2,TPC-TC(C0)-CD-22-0508,IFA,2022/07/13,2022/06/13,TC0-1-III02-A9408,Catalogs for Gas Detector and Accessories,A,A,"Certifitcates of Explosion Proof & Enclosure/Catalogs/Data Sheet & data exchange/Outline & Wiring Drawing/Installation, Operation and Maintenance Manual for Gas Detector and Accessories",TC0-1-III02-M9408,王鵬豪  Ext.:25199,I
3,TPC-TC(C0)-CD-22-0508,IFA,2022/07/13,2022/06/13,TC0-1-III02-A9410,Data Sheet and data exchange for Gas Detector and Accessories,A,A,"Certifitcates of Explosion Proof & Enclosure/Catalogs/Data Sheet & data exchange/Outline & Wiring Drawing/Installation, Operation and Maintenance Manual for Gas Detector and Accessories",TC0-1-III02-S9410,王鵬豪  Ext.:25199,R
4,TPC-TC(C0)-CD-22-0508,IFA,2022/07/13,2022/06/13,TC0-1-III02-A9411,Outline & Wiring Drawing for Gas Detector and Accessories,A,A,"Certifitcates of Explosion Proof & Enclosure/Catalogs/Data Sheet & data exchange/Outline & Wiring Drawing/Installation, Operation and Maintenance Manual for Gas Detector and Accessories",TC0-1-III02-S9411,王鵬豪  Ext.:25199,R
